date_found,role_title,company,location,industry,track,tier,apply_link,status
2026-05-08,MBA Intern – Business Strategy & Operations,Google,Multiple US Cities,Tech,Corp Strategy,2,https://www.google.com/about/careers/applications/jobs/results/?category=BUSINESS_STRATEGY,New
2026-05-12,MBA Intern – Business Strategy & Operations,Meta,Multiple US Cities,Tech,Tech Strategy,2,https://www.metacareers.com/careerprograms/students,New
2026-05-12,MBA Intern – Business Strategy & Product Management,Spotify,"New York, NY",Tech,Tech Strategy,4,https://www.lifeatspotify.com/jobs/students,New
2026-05-12,MBA Intern – Strategy & Operations,DoorDash,San Francisco CA / New York NY,Tech,Growth,4,https://careersatdoordash.com/university-careers/,New
2026-05-12,Strategic Finance & Analytics Intern (MBA),Airbnb,"San Francisco, CA",Tech,Finance Strategy,4,https://careers.airbnb.com/,New
2026-05-12,MBA Intern – Business Value & Strategic Consulting,Salesforce,Multiple US Cities,Tech,BD Strategy,4,https://careers.salesforce.com/en/university/advanced-degrees/,New
2026-05-10,MBA Strategy & Operations Intern,Uber,San Francisco CA / New York NY,Tech,Growth,4,https://www.uber.com/us/en/careers/teams/university/,Monitor
2026-05-10,MBA Business Development Intern,Microsoft,Redmond WA / New York NY,Tech,BD Strategy,4,https://jobs.careers.microsoft.com/us/en/job/1159320/Business-Development-MBA-Internship-Opportunities,Monitor
2026-05-12,Corporate Brand Strategy MBA Intern,Walt Disney Company,"Burbank, CA",Consumer / Media,Corp Strategy,4,https://jobs.disneycareers.com/professional-internships,New
2026-05-12,MBA Marketing Summer Intern,L'Oreal USA,"New York, NY",Consumer / Beauty,CPG Brand,4,https://careers.loreal.com/en_US/content/USAIntern,New
2026-05-11,2027 Summer Associate Program,Goldman Sachs,Multiple US Cities,Finance,Finance Strategy,4,https://www.goldmansachs.com/careers/students/programs-and-internships/americas/summer-associate-program,Monitor
2026-05-10,MBA Strategy & Consulting Summer Associate,Pfizer,"New York, NY",Healthcare,Corp Strategy,4,https://www.pfizer.com/en/about/careers/mba-summer-associate-program,Monitor
2026-05-10,Commercial Leadership Development Program MBA Summer Intern,Johnson & Johnson,"Raritan, NJ",Healthcare,General Mgmt,4,https://www.careers.jnj.com/en/student-opportunities/internships/,Monitor
2026-05-12,MBA Summer Internship – Marketing & Business Development,Medtronic,Multiple US Cities,Healthcare,Corp Strategy,4,https://www.medtronic.com/en-us/our-company/careers/early-careers.html,New
2026-05-12,MBA Intern – E-Commerce Strategy & Business Development,Walmart,"Bentonville, AR",Retail,Corp Strategy,4,https://careers.walmart.com/us/en/home/careers-areas/students,New
2026-05-11,Strategic Planning Graduate Internship,Nike,"Beaverton, OR",Consumer / Apparel,Corp Strategy,4,https://careers.nike.com/strategic-planning-graduate-internship/job/R-68745,Monitor
2026-05-08,MBA FASLEAP Finance & Strategy Leadership Internship,Estée Lauder Companies,"New York, NY",Beauty / CPG,Finance Strategy,4,https://www.elcompanies.com/en/careers/students/internships,Monitor
,,Chomps,"Chicago, IL",CPG / Snack,,,,Watching
2026-05-13,2027 Summer Intern: Marketing - MBA,PepsiCo,Purchase NY / Chicago IL / Plano TX,CPG,CPG Brand,2,https://www.pepsicojobs.com/main/jobs/450411?lang=en-us,New
2026-05-13,Corporate Strategy Manager MBA (Intern),Cisco,Multiple US Cities,Tech,Corp Strategy,4,https://jobs.cisco.com/jobs/ProjectDetail/Corporate-Strategy-Manager-MBA-Intern-United-States/1426404,New
2026-05-13,Strategy and Planning Manager MBA (Intern),Cisco,Multiple US Cities,Tech,Corp Strategy,4,https://jobs.cisco.com/jobs/ProjectDetail/Strategy-and-Planning-Manager-MBA-Intern-United-States/1426356,New
2026-05-13,Summer Associate (MBA),Cornerstone Research,Boston MA / Chicago IL / Los Angeles CA / New York NY / San Francisco CA,Consulting,Consulting,3,https://www.cornerstone.com/careers/associate/how-to-apply/,New
2026-05-13,MBA Summer Associate - Strategy & Operations (Education Practice),Huron Consulting Group,"Chicago, IL",Consulting,Consulting,4,https://huron.wd1.myworkdayjobs.com/en-US/huroncareers/job/MBA-Summer-Associate--Education-and-Research--Strategy---Operations_JR-0009983,New
2026-05-13,Corporate Strategy MBA Intern,ServiceNow,"Santa Clara, CA",Tech,Corp Strategy,4,https://careers.servicenow.com/jobs/744000083376235/mba-corporate-strategy-intern-summer-2026/,New
2026-05-13,Corporate Business Development MBA Intern,ServiceNow,"Santa Clara, CA",Tech,BD Strategy,4,https://careers.servicenow.com/jobs/744000083373755/corporate-business-development-mba-intern-summer-2026/,New
2026-05-13,Associate Strategy Consultant Intern - Enterprise Strategy,IBM,Multiple US Cities,Tech,Corp Strategy,4,https://careers.ibm.com/en_US/careers/JobDetail/Associate-Strategy-Consultant-Intern-2026-Enterprise-Strategy/87621,New
,,Startup CPG,"Chicago, IL",Community / CPG,,,,Watching
,,Naturally Chicago,"Chicago, IL",Community / Natural,,,,Watching
,,Siete Family Foods,"Austin, TX",CPG / Food,,,,Watching
,,Springdale Ventures,"Austin, TX",VC / CPG,,,,Watching
,,Whole Foods Market HQ,"Austin, TX",Retail / CPG,,,,Watching
,,Vital Farms,"Austin, TX",CPG / Better-for-you,,,,Watching
,,Waterloo Sparkling Water,"Austin, TX",CPG / Beverages,,,,Watching
,,SKU Accelerator,"Austin, TX",Accelerator / CPG,,,,Watching
,,Naturally Austin,"Austin, TX",Community / Wellness,,,,Watching
,,Capital Factory,"Austin, TX",Accelerator / Startups,,,,Watching
,,Onnit,"Austin, TX",Wellness / Supplements,,,,Watching
,,YETI,"Austin, TX",Outdoor / Lifestyle,,,,Watching
,,GoodPop,"Austin, TX",CPG / Frozen,,,,Watching
,,Black Swan Yoga,"Austin, TX",Fitness / Studio,,,,Watching
,,CAVU Consumer Partners,"New York, NY",VC / CPG,,,,Watching
,,David,"New York, NY",CPG / Protein,,,,Watching
,,Chobani,"New York, NY",CPG / Yogurt,,,,Watching
,,Jones Knowles Ritchie,"New York, NY",Agency / Branding,,,,Watching
,,XRC Ventures,"New York, NY",VC / Consumer,,,,Watching
,,Prelude Growth Partners,"New York, NY",PE / CPG,,,,Watching
,,SMAKK Studios,"New York, NY",Agency / Branding,,,,Watching
,,VMG Partners,"San Francisco, CA",VC / CPG,,,,Watching
,,Strand Equity,"San Francisco, CA",VC / Health,,,,Watching
,,Good Culture,Various,CPG / Health,,,,Watching
,,Clio Snacks,Various,CPG / Healthy,,,,Watching
,,Tru Fru,Various,CPG / Snack,,,,Watching
,,Yasso,Various,CPG / Frozen,,,,Watching
,,Barebells,"Various, US",CPG / Protein,,,,Watching
,,New Hope Network,Various,Industry / Natural,,,,Watching
